# Time-averaged data for fix gr
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
500 200
91 1.13125 0.981955 5.07592
92 1.14375 0.962704 5.16816
93 1.15625 0.901732 5.25551
94 1.16875 0.800378 5.33388
95 1.18125 0.618678 5.3951
96 1.19375 0.473435 5.44245
97 1.20625 0.573543 5.50041
98 1.21875 0.407756 5.54204
99 1.23125 0.403617 5.58367
100 1.24375 0.360388 5.62122
101 1.25625 0.318019 5.65469
102 1.26875 0.391687 5.69633
103 1.28125 0.235762 5.72163
104 1.29375 0.241015 5.74776
105 1.30625 0.276007 5.77796
106 1.31875 0.206891 5.80082
107 1.33125 0.17567 5.82041
108 1.34375 0.174036 5.84
109 1.35625 0.165247 5.85878
110 1.36875 0.206452 5.88245
111 1.38125 0.112874 5.89551
112 1.39375 0.118853 5.90939
113 1.40625 0.200947 5.93306
114 1.41875 0.144231 5.9502
115 1.43125 0.170204 5.97061
116 1.44375 0.155232 5.98939
117 1.45625 0.247577 6.01959
118 1.46875 0.225567 6.04735
119 1.48125 0.263134 6.08
120 1.49375 0.260932 6.11265
121 1.50625 0.23289 6.14204
122 1.51875 0.320796 6.18286
123 1.53125 0.30545 6.22204
124 1.54375 0.397657 6.27347
125 1.55625 0.413247 6.32735
126 1.56875 0.453434 6.38694
127 1.58125 0.456012 6.44735
128 1.59375 0.556374 6.52163
129 1.60625 0.715837 6.61796
130 1.61875 0.70429 6.71347
131 1.63125 0.782521 6.82041
132 1.64375 0.906987 6.94531
133 1.65625 0.947208 7.07673
134 1.66875 1.08609 7.22857
135 1.68125 1.31565 7.41388
136 1.69375 1.5188 7.62939
137 1.70625 1.54765 7.85061
138 1.71875 1.30962 8.03918
139 1.73125 1.53656 8.26204
140 1.74375 1.64848 8.50286
141 1.75625 1.59791 8.73796
142 1.76875 1.38278 8.94286
143 1.78125 1.51531 9.16898
144 1.79375 1.5482 9.40163
145 1.80625 1.52131 9.63184
146 1.81875 1.46799 9.85551
147 1.83125 1.50054 10.0857
148 1.84375 1.59078 10.3314
149 1.85625 1.7113 10.5976
150 1.86875 1.54864 10.84
151 1.88125 1.6264 11.0963
152 1.89375 1.62596 11.3543
153 1.90625 1.88622 11.6555
154 1.91875 1.8333 11.9502
155 1.93125 1.75584 12.2343
156 1.94375 1.71447 12.5135
157 1.95625 1.7882 12.8065
158 1.96875 1.77684 13.0996
159 1.98125 1.71645 13.3845
160 1.99375 1.86697 13.6963
161 2.00625 1.65135 13.9739
162 2.01875 1.65078 14.2531
163 2.03125 1.49671 14.5078
164 2.04375 1.29684 14.7298
165 2.05625 1.26052 14.9469
166 2.06875 1.12102 15.1412
167 2.08125 1.10024 15.3331
168 2.09375 1.06575 15.52
169 2.10625 0.962274 15.6898
170 2.11875 0.814027 15.8343
171 2.13125 0.804681 15.978
172 2.14375 0.804534 16.1224
173 2.15625 0.732084 16.2547
174 2.16875 0.646991 16.3722
175 2.18125 0.737096 16.5069
176 2.19375 0.688478 16.6335
177 2.20625 0.529995 16.7314
178 2.21875 0.557751 16.8351
179 2.23125 0.493487 16.9273
180 2.24375 0.52548 17.0261
181 2.25625 0.44915 17.111
182 2.26875 0.489625 17.2041
183 2.28125 0.418599 17.2841
184 2.29375 0.484288 17.3771
185 2.30625 0.439412 17.462
186 2.31875 0.41183 17.542
187 2.33125 0.401262 17.6204
188 2.34375 0.403279 17.6996
189 2.35625 0.450765 17.7886
190 2.36875 0.440159 17.8759
191 2.38125 0.417389 17.9592
192 2.39375 0.48034 18.0555
193 2.40625 0.506191 18.1576
194 2.41875 0.491489 18.2571
195 2.43125 0.545073 18.3682
196 2.44375 0.64197 18.4996
197 2.45625 0.610933 18.6253
198 2.46875 0.635469 18.7567
199 2.48125 0.750081 18.9127
200 2.49375 0.804933 19.0808
2500 200
1 0.00625 0 0
2 0.01875 0 0
3 0.03125 0 0
4 0.04375 0 0
5 0.05625 0 0
6 0.06875 0 0
7 0.08125 0 0
8 0.09375 0 0
9 0.10625 0 0
10 0.11875 0 0
11 0.13125 0 0
12 0.14375 0 0
13 0.15625 0 0
14 0.16875 0 0
15 0.18125 0 0
16 0.19375 0 0
17 0.20625 0 0
18 0.21875 0 0
19 0.23125 0 0
20 0.24375 0 0
21 0.25625 0 0
22 0.26875 0 0
23 0.28125 0 0
24 0.29375 0 0
25 0.30625 0 0
26 0.31875 0 0
27 0.33125 0 0
28 0.34375 0 0
29 0.35625 0 0
30 0.36875 0 0
31 0.38125 0 0
32 0.39375 0 0
33 0.40625 0 0
34 0.41875 0 0
35 0.43125 0 0
36 0.44375 0 0
37 0.45625 0 0
38 0.46875 0 0
39 0.48125 0 0
40 0.49375 0 0
41 0.50625 0 0
42 0.51875 0 0
43 0.53125 0 0
44 0.54375 0 0
45 0.55625 0 0
46 0.56875 0 0
47 0.58125 0 0
48 0.59375 0 0
49 0.60625 0 0
50 0.61875 0 0
51 0.63125 0 0
52 0.64375 0 0
53 0.65625 0 0
54 0.66875 0 0
55 0.68125 0 0
56 0.69375 0 0
57 0.70625 0 0
58 0.71875 0 0
59 0.73125 0 0
60 0.74375 0 0
61 0.75625 0 0
62 0.76875 0 0
63 0.78125 0 0
64 0.79375 0 0
65 0.80625 0 0
66 0.81875 0 0
67 0.83125 0 0
68 0.84375 0 0
69 0.85625 0.0455203 0.00326531
70 0.86875 0.157029 0.0146939
71 0.88125 0.574976 0.0571429
72 0.89375 1.09026 0.138776
73 0.90625 1.67734 0.266122
74 0.91875 2.46057 0.45551
75 0.93125 3.13906 0.700408
76 0.94375 4.11966 1.02612
77 0.95625 4.63645 1.39755
78 0.96875 4.61686 1.77224
79 0.98125 4.94533 2.17878
80 0.99375 4.59876 2.56163
81 1.00625 4.59005 2.94857
82 1.01875 3.81637 3.27429
83 1.03125 3.83625 3.60571
84 1.04375 3.33286 3.89714
85 1.05625 3.02589 4.1649
86 1.06875 2.25199 4.36653
87 1.08125 2.17188 4.56327
88 1.09375 1.81743 4.7298
89 1.10625 1.69119 4.88653
90 1.11875 1.29777 5.00816
91 1.13125 1.0767 5.1102
92 1.14375 0.945665 5.20082
93 1.15625 1.05342 5.30286
94 1.16875 0.583609 5.36
95 1.18125 0.544437 5.41388
96 1.19375 0.636688 5.47755
97 1.20625 0.500841 5.52816
98 1.21875 0.399761 5.56898
99 1.23125 0.33239 5.60327
100 1.24375 0.297712 5.63429
101 1.25625 0.341289 5.6702
102 1.26875 0.276485 5.69959
103 1.28125 0.296603 5.73143
104 1.29375 0.225952 5.75592
105 1.30625 0.164113 5.77388
106 1.31875 0.184724 5.79429
107 1.33125 0.146391 5.81061
108 1.34375 0.159533 5.82857
109 1.35625 0.129324 5.84327
110 1.36875 0.156619 5.86122
111 1.38125 0.141092 5.87755
112 1.39375 0.202749 5.90122
113 1.40625 0.145513 5.91837
114 1.41875 0.247253 5.94776
115 1.43125 0.170204 5.96816
116 1.44375 0.141734 5.98531
117 1.45625 0.127134 6.00082
118 1.46875 0.15259 6.01959
119 1.48125 0.210507 6.04571
120 1.49375 0.228316 6.07429
